compute_time,download_size,download_time,video,library,upload_size,upload_time
1.456424,1000002,2.437411,1Mb,moviepy,7932321,8.857121
1.437556,1000002,2.739214,1Mb,moviepy,7932321,4.230937
1.450302,1000002,4.983834,1Mb,moviepy,7932321,4.378772
1.475715,1000002,2.401791,1Mb,moviepy,7932321,9.9346
1.44554,1000002,2.515077,1Mb,moviepy,7932321,4.225289
1.43598,1000002,1.657787,1Mb,moviepy,7932321,4.11667
1.451569,1000002,2.21143,1Mb,moviepy,7932321,4.271591
1.455526,1000002,4.35948,1Mb,moviepy,7932321,8.982241
1.449283,1000002,1.818067,1Mb,moviepy,7932321,4.59859
1.446421,1000002,2.794405,1Mb,moviepy,7932321,4.424044
1.456797,1000002,3.128191,1Mb,moviepy,7932321,4.257748
1.434186,1000002,2.417547,1Mb,moviepy,7932321,4.279641
1.441691,1000002,2.983902,1Mb,moviepy,7932321,4.003647
1.482191,1000002,2.239037,1Mb,moviepy,7932321,5.144063
1.451347,1000002,1.786297,1Mb,moviepy,7932321,4.384334
1.447221,1000002,2.141714,1Mb,moviepy,7932321,4.242094
1.480125,1000002,1.93045,1Mb,moviepy,7932321,4.115052
1.436185,1000002,2.279628,1Mb,moviepy,7932321,4.424032
1.462163,1000002,3.193024,1Mb,moviepy,7932321,4.407229
1.43332,1000002,2.392974,1Mb,moviepy,7932321,14.012341
1.435064,1000002,3.928609,1Mb,moviepy,7932321,4.884737
1.464886,1000002,1.650387,1Mb,moviepy,7932321,9.909066
1.472288,1000002,2.578844,1Mb,moviepy,7932321,5.374734
1.462603,1000002,2.982213,1Mb,moviepy,7932321,8.511832
1.438911,1000002,2.571841,1Mb,moviepy,7932321,4.288461
1.435026,1000002,2.570707,1Mb,moviepy,7932321,4.295727
1.479614,1000002,2.420039,1Mb,moviepy,7932321,5.50223
1.462752,1000002,2.423724,1Mb,moviepy,7932321,4.998226
1.434914,1000002,2.000408,1Mb,moviepy,7932321,5.288634
1.448021,1000002,2.601462,1Mb,moviepy,7932321,8.760086
1.452522,1000002,2.517537,1Mb,moviepy,7932321,7.859302
1.491771,1000002,1.611444,1Mb,moviepy,7932321,5.880654
0.451351,1000002,2.027645,1Mb,ffmpeg,4595100,4.144125
0.4576,1000002,2.673019,1Mb,ffmpeg,4595100,8.388698
0.449273,1000002,2.182935,1Mb,ffmpeg,4595100,3.866329
0.453077,1000002,2.286269,1Mb,ffmpeg,4595100,3.933403
0.447571,1000002,2.494079,1Mb,ffmpeg,4595100,4.148355
0.455182,1000002,2.849437,1Mb,ffmpeg,4595100,6.579484
0.450881,1000002,2.514692,1Mb,ffmpeg,4595100,4.24885
0.45766,1000002,4.234774,1Mb,ffmpeg,4595100,6.928379
0.452474,1000002,3.197944,1Mb,ffmpeg,4595100,4.132699
0.451693,1000002,1.654854,1Mb,ffmpeg,4595100,3.852547
0.448928,1000002,1.626643,1Mb,ffmpeg,4595100,3.953624
0.45047,1000002,2.71817,1Mb,ffmpeg,4595100,4.132397
0.448893,1000002,2.694448,1Mb,ffmpeg,4595100,6.659158
0.452375,1000002,2.646842,1Mb,ffmpeg,4595100,4.016072
0.452834,1000002,1.80994,1Mb,ffmpeg,4595100,3.931207
0.450526,1000002,2.457453,1Mb,ffmpeg,4595100,3.667849
0.44941,1000002,2.505379,1Mb,ffmpeg,4595100,3.979849
0.456257,1000002,2.181576,1Mb,ffmpeg,4595100,7.051167
0.455678,1000002,3.194867,1Mb,ffmpeg,4595100,4.146598
0.453145,1000002,2.461975,1Mb,ffmpeg,4595100,7.214255
0.450656,1000002,2.504692,1Mb,ffmpeg,4595100,4.003948
0.455836,1000002,1.678867,1Mb,ffmpeg,4595100,3.891967
0.449073,1000002,2.322341,1Mb,ffmpeg,4595100,6.428419
0.449432,1000002,2.396539,1Mb,ffmpeg,4595100,4.110951
0.451396,1000002,1.606376,1Mb,ffmpeg,4595100,4.245633
0.453007,1000002,2.394987,1Mb,ffmpeg,4595100,7.288317
0.466361,1000002,1.855519,1Mb,ffmpeg,4595100,5.052295
0.452767,1000002,3.693986,1Mb,ffmpeg,4595100,4.5097
0.449738,1000002,2.940383,1Mb,ffmpeg,4595100,6.595018
0.451288,1000002,2.443459,1Mb,ffmpeg,4595100,3.791197
0.450929,1000002,2.592803,1Mb,ffmpeg,4595100,3.830241
0.45732,1000002,1.943301,1Mb,ffmpeg,4595100,4.270272
0.44852,1000002,2.542838,1Mb,ffmpeg,4595100,4.032884
0.455356,1000002,2.417282,1Mb,ffmpeg,4595100,3.846744
0.452955,1000002,1.723271,1Mb,ffmpeg,4595100,7.282334
0.452091,1000002,2.240115,1Mb,ffmpeg,4595100,3.183699
0.452488,1000002,1.831768,1Mb,ffmpeg,4595100,3.308862
0.455457,1000002,2.462165,1Mb,ffmpeg,4595100,3.173659
0.453215,1000002,2.523727,1Mb,ffmpeg,4595100,5.059167
0.451741,1000002,3.244843,1Mb,ffmpeg,4595100,3.249779
0.451784,1000002,2.422793,1Mb,ffmpeg,4595100,3.390768
0.450732,1000002,1.648904,1Mb,ffmpeg,4595100,3.218972
0.449071,1000002,2.002778,1Mb,ffmpeg,4595100,3.297116
0.453728,1000002,2.500794,1Mb,ffmpeg,4595100,3.152902
0.456104,1000002,1.45157,1Mb,ffmpeg,4595100,7.649803
0.450988,1000002,2.576585,1Mb,ffmpeg,4595100,3.267034
0.458827,1000002,1.689948,1Mb,ffmpeg,4595100,3.435009
0.451802,1000002,3.135606,1Mb,ffmpeg,4595100,8.65082
0.451334,1000002,2.270181,1Mb,ffmpeg,4595100,3.524058
0.453434,1000002,2.5378,1Mb,ffmpeg,4595100,3.707921
0.452608,1000002,2.618907,1Mb,ffmpeg,4595100,6.506262
0.452679,1000002,2.520326,1Mb,ffmpeg,4595100,3.409563
0.452457,1000002,2.555099,1Mb,ffmpeg,4595100,3.875358
0.451303,1000002,2.551678,1Mb,ffmpeg,4595100,3.283215
0.45148,1000002,2.691045,1Mb,ffmpeg,4595100,3.619796
0.450184,1000002,4.411966,1Mb,ffmpeg,4595100,7.263691
0.444355,1000002,3.300424,1Mb,ffmpeg,4595100,4.132936
0.452004,1000002,2.945482,1Mb,ffmpeg,4595100,3.302134
0.462616,1000002,2.3667,1Mb,ffmpeg,4595100,8.879097
0.450856,1000002,3.583332,1Mb,ffmpeg,4595100,6.120065
0.44963,1000002,2.623377,1Mb,ffmpeg,4595100,8.612705
0.456028,1000002,2.521846,1Mb,ffmpeg,4595100,6.126808
0.44437,1000002,1.696373,1Mb,ffmpeg,4595100,3.649318
0.45425,1000002,2.333308,1Mb,ffmpeg,4595100,4.347049
0.451969,1000002,2.773036,1Mb,ffmpeg,4595100,3.67715
0.451737,1000002,2.766574,1Mb,ffmpeg,4595100,7.169796
0.454614,1000002,1.645608,1Mb,ffmpeg,4595100,3.431714
0.454358,1000002,2.306007,1Mb,ffmpeg,4595100,3.642697
0.453936,1000002,3.683489,1Mb,ffmpeg,4595100,8.007228
0.446299,1000002,2.575883,1Mb,ffmpeg,4595100,3.304367
0.455744,1000002,3.679952,1Mb,ffmpeg,4595100,4.543171
0.458844,1000002,2.278903,1Mb,ffmpeg,4595100,8.782694
0.456263,1000002,3.253652,1Mb,ffmpeg,4595100,6.950631
0.450295,1000002,2.546263,1Mb,ffmpeg,4595100,3.662706
0.459192,1000002,4.355431,1Mb,ffmpeg,4595100,4.761808
0.44448,1000002,6.820948,1Mb,ffmpeg,4595100,4.771628
0.453588,1000002,2.671024,1Mb,ffmpeg,4595100,3.294801
0.454554,1000002,1.895303,1Mb,ffmpeg,4595100,4.24792
0.456356,1000002,2.363071,1Mb,ffmpeg,4595100,3.742111
0.456499,1000002,2.518844,1Mb,ffmpeg,4595100,6.669301
0.450231,1000002,2.386404,1Mb,ffmpeg,4595100,3.542435
0.448958,1000002,1.577338,1Mb,ffmpeg,4595100,3.443269
0.452039,1000002,2.920833,1Mb,ffmpeg,4595100,3.33571
0.449303,1000002,1.752595,1Mb,ffmpeg,4595100,5.458974
0.453021,1000002,2.428578,1Mb,ffmpeg,4595100,3.584962
0.44625,1000002,4.399301,1Mb,ffmpeg,4595100,7.288474
0.453982,1000002,2.544186,1Mb,ffmpeg,4595100,3.447416
0.45442,1000002,2.719535,1Mb,ffmpeg,4595100,7.221917
0.450426,1000002,2.716943,1Mb,ffmpeg,4595100,3.386611
0.452822,1000002,4.007956,1Mb,ffmpeg,4595100,4.006903
0.478688,1000002,2.888121,1Mb,ffmpeg,4595100,8.713454
0.456816,1000002,2.612454,1Mb,ffmpeg,4595100,3.249801
0.452395,1000002,2.564626,1Mb,ffmpeg,4595100,3.334028
0.460704,1000002,2.502544,1Mb,ffmpeg,4595100,4.163082
0.452245,1000002,2.594867,1Mb,ffmpeg,4595100,4.176346
0.451841,1000002,2.798393,1Mb,ffmpeg,4595100,4.010897
0.444049,1000002,5.576927,1Mb,ffmpeg,4595100,3.51051
0.452433,1000002,4.330849,1Mb,ffmpeg,4595100,3.56172
0.451109,1000002,2.981714,1Mb,ffmpeg,4595100,7.2691
0.450939,1000002,1.59665,1Mb,ffmpeg,4595100,7.267273
1.402919,1000002,1.436316,1Mb,imageio,7927818,10.34484
1.426688,1000002,2.575184,1Mb,imageio,7927818,5.474056
1.407796,1000002,2.220441,1Mb,imageio,7927818,4.732626
1.410501,1000002,2.469898,1Mb,imageio,7927818,4.967957
1.443346,1000002,1.688966,1Mb,imageio,7927818,5.005272
1.386805,1000002,2.643087,1Mb,imageio,7927818,4.72757
1.416842,1000002,2.446762,1Mb,imageio,7927818,4.894291
1.398495,1000002,4.426886,1Mb,imageio,7927818,5.184032
1.39274,1000002,2.427906,1Mb,imageio,7927818,6.051471
1.424605,1000002,3.59859,1Mb,imageio,7927818,4.831927
1.418608,1000002,2.338086,1Mb,imageio,7927818,8.682479
1.400341,1000002,1.589928,1Mb,imageio,7927818,4.795555
1.418197,1000002,2.261608,1Mb,imageio,7927818,4.667927
1.394972,1000002,2.739969,1Mb,imageio,7927818,6.25818
1.425106,1000002,2.304252,1Mb,imageio,7927818,4.614616
1.40053,1000002,2.943719,1Mb,imageio,7927818,5.021999
1.413556,1000002,3.338206,1Mb,imageio,7927818,4.690766
1.38588,1000002,2.298251,1Mb,imageio,7927818,4.59063
1.396012,1000002,2.422209,1Mb,imageio,7927818,7.882117
1.434911,1000002,1.998147,1Mb,imageio,7927818,6.118667
1.403337,1000002,2.802978,1Mb,imageio,7927818,4.728869
1.403255,1000002,1.536774,1Mb,imageio,7927818,7.152165
1.409772,1000002,1.854227,1Mb,imageio,7927818,4.729788
1.402533,1000002,2.581579,1Mb,imageio,7927818,4.85582
1.437488,1000002,2.681808,1Mb,imageio,7927818,5.14481
1.397302,1000002,3.059871,1Mb,imageio,7927818,5.529647
1.394924,1000002,2.413296,1Mb,imageio,7927818,4.748578
1.404501,1000002,3.224329,1Mb,imageio,7927818,4.746022
1.398639,1000002,2.388683,1Mb,imageio,7927818,7.223405
1.41749,1000002,2.303711,1Mb,imageio,7927818,4.692623
1.398686,1000002,2.75543,1Mb,imageio,7927818,8.395931
1.387525,1000002,2.340095,1Mb,imageio,7927818,15.740597
1.397536,1000002,3.74524,1Mb,imageio,7927818,4.691096
1.40335,1000002,1.555106,1Mb,imageio,7927818,4.485339
1.441457,1000002,2.194044,1Mb,imageio,7927818,4.033163
1.385207,1000002,4.295432,1Mb,imageio,7927818,4.494014
1.392777,1000002,3.773043,1Mb,imageio,7927818,4.383866
1.402096,1000002,3.044395,1Mb,imageio,7927818,4.237179
1.393661,1000002,2.691106,1Mb,imageio,7927818,4.022602
1.421926,1000002,3.517369,1Mb,imageio,7927818,4.059097
1.407979,1000002,2.492767,1Mb,imageio,7927818,9.970636
1.40046,1000002,3.15374,1Mb,imageio,7927818,4.36041
1.396554,1000002,2.541508,1Mb,imageio,7927818,4.104123
1.398616,1000002,2.944441,1Mb,imageio,7927818,8.565594
1.422134,1000002,2.777061,1Mb,imageio,7927818,4.15812
1.391394,1000002,1.545766,1Mb,imageio,7927818,9.968232
1.404068,1000002,1.842277,1Mb,imageio,7927818,4.395702
1.391338,1000002,2.283556,1Mb,imageio,7927818,10.145707
1.415,1000002,2.26048,1Mb,imageio,7927818,4.279592
1.415611,1000002,2.814686,1Mb,imageio,7927818,3.991403
1.402428,1000002,2.263511,1Mb,imageio,7927818,4.81134
1.401475,1000002,2.421611,1Mb,imageio,7927818,4.766084
1.413244,1000002,1.734502,1Mb,imageio,7927818,4.244797
1.39116,1000002,2.707421,1Mb,imageio,7927818,8.755986
1.447834,1000002,2.505282,1Mb,imageio,7927818,9.168077
1.390199,1000002,1.753734,1Mb,imageio,7927818,4.24181
1.406709,1000002,2.136779,1Mb,imageio,7927818,8.287107
1.420794,1000002,3.356518,1Mb,imageio,7927818,4.244288
1.395113,1000002,4.698779,1Mb,imageio,7927818,10.34093
1.386483,1000002,2.947756,1Mb,imageio,7927818,4.499316
1.409111,1000002,2.620276,1Mb,imageio,7927818,8.500354
1.408676,1000002,2.499753,1Mb,imageio,7927818,10.030715
1.419302,1000002,2.666889,1Mb,imageio,7927818,5.671781
1.391006,1000002,3.201508,1Mb,imageio,7927818,5.549292
1.435292,1000002,2.108784,1Mb,imageio,7927818,4.384304
1.390967,1000002,1.72979,1Mb,imageio,7927818,4.313142
1.399782,1000002,1.557676,1Mb,imageio,7927818,10.200999
1.4269,1000002,2.526607,1Mb,imageio,7927818,4.170212
1.422114,1000002,1.47021,1Mb,imageio,7927818,8.538504
1.425928,1000002,3.358895,1Mb,imageio,7927818,4.20725
1.43193,1000002,2.636494,1Mb,imageio,7927818,3.966645
1.412958,1000002,1.807841,1Mb,imageio,7927818,5.126235
1.414732,1000002,2.101253,1Mb,imageio,7927818,7.659317
1.391604,1000002,2.220481,1Mb,imageio,7927818,3.866
1.43693,1000002,6.233827,1Mb,imageio,7927818,4.726398
1.410657,1000002,2.614999,1Mb,imageio,7927818,4.844882
1.41846,1000002,1.541278,1Mb,imageio,7927818,8.309409
1.428854,1000002,2.599407,1Mb,imageio,7927818,8.927426
1.393027,1000002,2.627548,1Mb,imageio,7927818,4.537051
1.38428,1000002,2.61894,1Mb,imageio,7927818,5.024603
1.406081,1000002,1.956987,1Mb,imageio,7927818,4.010059
1.399746,1000002,1.61026,1Mb,imageio,7927818,8.81926
1.398,1000002,2.48505,1Mb,imageio,7927818,4.166808
1.397643,1000002,2.277472,1Mb,imageio,7927818,10.152426
1.431616,1000002,2.806384,1Mb,imageio,7927818,4.271429
1.440285,1000002,2.794975,1Mb,imageio,7927818,4.108445
1.399873,1000002,2.587789,1Mb,imageio,7927818,4.46143
1.423929,1000002,3.023999,1Mb,imageio,7927818,5.741008
1.401242,1000002,2.687286,1Mb,imageio,7927818,4.115615
1.395685,1000002,2.180618,1Mb,imageio,7927818,4.671439
1.411128,1000002,3.330325,1Mb,imageio,7927818,3.965463
1.391482,1000002,2.706061,1Mb,imageio,7927818,8.075575
1.403928,1000002,3.223671,1Mb,imageio,7927818,5.948633
1.393892,1000002,2.350315,1Mb,imageio,7927818,3.742509
1.44324,1000002,2.633371,1Mb,imageio,7927818,9.801785
1.394098,1000002,3.310966,1Mb,imageio,7927818,4.212989
1.394094,1000002,2.816136,1Mb,imageio,7927818,5.468919
1.41603,1000002,1.655375,1Mb,imageio,7927818,4.660237
1.41123,1000002,1.817765,1Mb,imageio,7927818,4.128194
1.414445,1000002,2.490804,1Mb,imageio,7927818,7.070628
1.343349,1000002,1.632562,1Mb,opencv,7932321,7.150235
1.351965,1000002,1.579042,1Mb,opencv,7932321,3.941153
1.345276,1000002,3.442376,1Mb,opencv,7932321,4.584406
1.342325,1000002,2.884343,1Mb,opencv,7932321,4.433811
1.373481,1000002,2.340867,1Mb,opencv,7932321,4.84348
1.331709,1000002,1.826162,1Mb,opencv,7932321,4.062306
1.338265,1000002,3.152616,1Mb,opencv,7932321,3.879619
1.365283,1000002,2.450378,1Mb,opencv,7932321,3.937559
1.338301,1000002,2.966735,1Mb,opencv,7932321,4.009552
1.341884,1000002,1.724291,1Mb,opencv,7932321,3.887453
1.338517,1000002,2.597793,1Mb,opencv,7932321,4.583085
1.340289,1000002,3.95811,1Mb,opencv,7932321,4.381818
1.345528,1000002,2.528265,1Mb,opencv,7932321,10.110664
1.332033,1000002,1.723362,1Mb,opencv,7932321,4.119481
1.370767,1000002,4.526887,1Mb,opencv,7932321,9.00241
1.333697,1000002,2.319257,1Mb,opencv,7932321,3.939916
1.336921,1000002,2.520514,1Mb,opencv,7932321,3.893348
1.367314,1000002,2.776783,1Mb,opencv,7932321,10.14108
1.350433,1000002,2.173495,1Mb,opencv,7932321,8.719587
1.338743,1000002,2.476334,1Mb,opencv,7932321,3.687123
1.454488,1000002,3.180524,1Mb,opencv,7932321,6.958751
1.351496,1000002,2.663826,1Mb,opencv,7932321,7.29685
1.33806,1000002,2.606076,1Mb,opencv,7932321,5.111885
1.335184,1000002,1.643592,1Mb,opencv,7932321,7.521777
1.367529,1000002,3.34398,1Mb,opencv,7932321,3.801748
1.339604,1000002,2.861338,1Mb,opencv,7932321,8.77308
1.341643,1000002,2.632973,1Mb,opencv,7932321,3.993851
1.359871,1000002,2.915151,1Mb,opencv,7932321,14.23604
1.33867,1000002,1.583247,1Mb,opencv,7932321,3.742716
1.340065,1000002,3.257664,1Mb,opencv,7932321,7.644997
1.347754,1000002,3.172239,1Mb,opencv,7932321,3.939327
1.347013,1000002,2.646524,1Mb,opencv,7932321,9.119858
1.341891,1000002,3.254202,1Mb,opencv,7932321,3.71345
1.345539,1000002,2.438333,1Mb,opencv,7932321,3.900714
1.363583,1000002,2.362439,1Mb,opencv,7932321,3.961611
1.331375,1000002,2.368781,1Mb,opencv,7932321,9.046447
1.346195,1000002,2.554326,1Mb,opencv,7932321,5.126327
1.367628,1000002,3.001349,1Mb,opencv,7932321,5.825121
1.355514,1000002,1.818197,1Mb,opencv,7932321,4.621686
1.347651,1000002,2.48976,1Mb,opencv,7932321,9.693045
1.344856,1000002,2.563221,1Mb,opencv,7932321,4.237012
1.338167,1000002,2.496205,1Mb,opencv,7932321,5.332905
1.347772,1000002,1.876117,1Mb,opencv,7932321,4.72456
1.336475,1000002,2.488778,1Mb,opencv,7932321,7.077611
1.375303,1000002,2.523414,1Mb,opencv,7932321,3.949048
1.331664,1000002,3.547607,1Mb,opencv,7932321,7.948346
1.344525,1000002,2.562159,1Mb,opencv,7932321,4.070488
1.363214,1000002,2.171733,1Mb,opencv,7932321,9.166703
1.356224,1000002,2.509863,1Mb,opencv,7932321,3.975484
1.333879,1000002,2.423418,1Mb,opencv,7932321,4.695489
1.361121,1000002,1.743416,1Mb,opencv,7932321,7.090559
1.335589,1000002,2.332954,1Mb,opencv,7932321,5.664069
1.344967,1000002,2.227973,1Mb,opencv,7932321,4.162525
1.335683,1000002,2.523715,1Mb,opencv,7932321,4.081929
1.36696,1000002,2.368578,1Mb,opencv,7932321,9.503358
1.3396,1000002,1.788903,1Mb,opencv,7932321,9.100788
1.344891,1000002,8.006011,1Mb,opencv,7932321,17.038451
1.360061,1000002,2.40813,1Mb,opencv,7932321,3.962722
1.34211,1000002,1.657072,1Mb,opencv,7932321,9.953276
1.346077,1000002,2.645737,1Mb,opencv,7932321,4.00845
1.344994,1000002,2.011739,1Mb,opencv,7932321,3.895194
1.3351,1000002,3.397045,1Mb,opencv,7932321,6.76812
1.344656,1000002,2.66087,1Mb,opencv,7932321,10.038553
1.346996,1000002,1.702413,1Mb,opencv,7932321,4.027311
1.365197,1000002,2.799422,1Mb,opencv,7932321,5.091531
1.33325,1000002,3.969123,1Mb,opencv,7932321,4.011284
1.343464,1000002,2.661732,1Mb,opencv,7932321,10.061585
1.358255,1000002,1.562394,1Mb,opencv,7932321,3.876934
1.352163,1000002,2.382421,1Mb,opencv,7932321,4.070375
1.335697,1000002,1.905076,1Mb,opencv,7932321,9.309596
1.34925,1000002,3.300946,1Mb,opencv,7932321,10.000579
1.334617,1000002,3.384074,1Mb,opencv,7932321,4.205837
1.341936,1000002,2.454415,1Mb,opencv,7932321,4.247019
1.334482,1000002,1.861551,1Mb,opencv,7932321,4.948043
1.372462,1000002,1.877096,1Mb,opencv,7932321,3.975208
1.3314,1000002,2.54748,1Mb,opencv,7932321,7.908267
1.346487,1000002,2.654885,1Mb,opencv,7932321,9.967444
1.357494,1000002,1.549011,1Mb,opencv,7932321,8.698796
1.344303,1000002,2.384265,1Mb,opencv,7932321,5.337318
1.349305,1000002,2.294681,1Mb,opencv,7932321,9.830361
1.353567,1000002,2.80931,1Mb,opencv,7932321,8.652282
1.336387,1000002,2.442164,1Mb,opencv,7932321,4.018171
1.34196,1000002,2.381527,1Mb,opencv,7932321,9.953542
1.350219,1000002,3.109231,1Mb,opencv,7932321,3.850164
1.364424,1000002,2.516401,1Mb,opencv,7932321,4.160575
1.357556,1000002,2.466444,1Mb,opencv,7932321,5.396747
1.370137,1000002,1.822187,1Mb,opencv,7932321,3.904407
1.361294,1000002,2.24385,1Mb,opencv,7932321,9.45862
1.341003,1000002,2.999237,1Mb,opencv,7932321,3.946011
1.341245,1000002,2.532128,1Mb,opencv,7932321,4.357708
1.339408,1000002,2.831197,1Mb,opencv,7932321,9.912677
1.346735,1000002,2.480029,1Mb,opencv,7932321,7.334192
1.355572,1000002,2.57307,1Mb,opencv,7932321,9.927019
1.338525,1000002,2.81529,1Mb,opencv,7932321,6.100695
1.368645,1000002,3.177492,1Mb,opencv,7932321,4.785148
1.339371,1000002,2.341622,1Mb,opencv,7932321,8.058236
1.340579,1000002,1.508708,1Mb,opencv,7932321,6.064575
1.366928,1000002,2.335764,1Mb,opencv,7932321,3.759806
1.342894,1000002,2.579017,1Mb,opencv,7932321,8.898561
1.336221,1000002,3.096672,1Mb,opencv,7932321,7.858349
0.218292,36710,1.257711,36Kb,moviepy,971337,3.065487
0.234508,36710,1.073908,36Kb,moviepy,971337,1.68209
0.219869,36710,1.067001,36Kb,moviepy,971337,3.433717
0.216493,36710,1.010723,36Kb,moviepy,971337,4.239618
0.219782,36710,1.023962,36Kb,moviepy,971337,3.263517
0.218725,36710,0.973436,36Kb,moviepy,971337,4.594873
0.215634,36710,1.28603,36Kb,moviepy,971337,3.531973
0.216213,36710,1.11554,36Kb,moviepy,971337,3.42699
0.217516,36710,1.020951,36Kb,moviepy,971337,1.930084
0.220364,36710,0.982296,36Kb,moviepy,971337,2.929539
0.220206,36710,1.202295,36Kb,moviepy,971337,4.32516
0.217998,36710,1.042809,36Kb,moviepy,971337,3.242543
0.217821,36710,0.997984,36Kb,moviepy,971337,3.077325
0.21542,36710,1.05974,36Kb,moviepy,971337,2.979937
0.221679,36710,1.060166,36Kb,moviepy,971337,4.691346
0.216511,36710,0.979927,36Kb,moviepy,971337,5.106031
0.217811,36710,1.081329,36Kb,moviepy,971337,4.695008
0.216539,36710,0.980105,36Kb,moviepy,971337,3.237473
0.218522,36710,1.108541,36Kb,moviepy,971337,2.785182
0.218503,36710,0.89123,36Kb,moviepy,971337,3.561385
0.218775,36710,0.971697,36Kb,moviepy,971337,1.889732
0.217324,36710,0.913593,36Kb,moviepy,971337,4.303954
0.218484,36710,1.026001,36Kb,moviepy,971337,4.230618
0.217472,36710,1.03525,36Kb,moviepy,971337,3.218889
